smiles,value
*Nc1ccc(-c2ccc(C(*)=O)s2)s1,7.09
*Oc1ccc(CC(*)=O)cc1,3.52
*C(=O)Oc1ccc(C(*)=S)s1,5.33
*CNC(=S)c1ccc(*)cc1,3.99
*CONC(*)=O,4.13
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,4.07
*CC(=S)C(=O)O*,4.54
*CC(=S)NC(*)=S,5.73
*C(=O)c1ccc(Oc2ccc(*)s2)cc1,4.79
*NOC(=S)O*,5.13
*CNc1ccc(N*)s1,4.18
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,5.39
*CNc1ccc(O*)s1,4.2
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.91
*NC(F)(F)NC(*)(F)F,4.43
*Nc1ccc(-c2ccc(O*)cc2)cc1,4.41
*COC(=S)O*,4.34
*NC(=O)C(=S)O*,6.14
*CC(=O)CC(*)=O,3.79
*NC(=O)NO*,5.14
*OC(F)(F)C(=S)C(*)(F)F,3.6
*CNC(=O)ONC(=O)NO*,4.65
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.43
*NC(=O)C(=S)c1ccc(*)s1,8.51
*OC(=S)c1ccc(-c2ccc(*)cc2)cc1,4.56
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,3.9
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,5.1
*C(=O)C(F)(F)CC(*)(F)F,3.64
*Nc1ccc(C(=O)c2ccc(*)s2)cc1,6.11
*CCC(=S)O*,3.71
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,6.5
*CNCNC(=O)NC(=O)N*,3.92
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,4.98
*CNC(=S)c1ccc(*)s1,4.55
*CC(=O)Nc1ccc(*)cc1,4.03
*C(=S)C(F)(F)CC(*)(F)F,3.78
*CCNC(*)=S,4.24
*c1ccc(C(F)(F)NC(*)(F)F)cc1,3.77
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,5.59
*CNCN*,3.29
*CC(=S)CO*,4.16
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,4.02
*CC(=O)c1ccc(C(*)=S)s1,4.78
*CNc1ccc(C(*)=S)s1,6.19
*Nc1ccc(Nc2ccc(*)s2)s1,4.34
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,3.8
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)cc1,3.97
*Cc1ccc(CC(*)=S)cc1,3.68
*Cc1ccc(C(=S)c2ccc(*)s2)cc1,4.17
*Cc1ccc(-c2ccc(C(*)=S)s2)s1,5.34
*Oc1ccc(OC(*)=O)s1,4.26
*NCNC(=O)OC(=O)NC(*)=O,4.67
*CC(=O)C(=S)c1ccc(*)cc1,4.62
*CCCc1ccc(*)s1,3.2
*NC(=S)Nc1ccc(*)cc1,5.66
*Oc1ccc(C(=O)c2ccc(C(=O)NOC(*)=O)s2)cc1,4.55
*CNCO*,3.53
*CONO*,4.25
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.57
*CC(=O)c1ccc(-c2ccc(*)cc2)cc1,3.96
*NC(=S)NC(*)=S,6.08
*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,5.45
*Nc1ccc(NO*)cc1,4.2
*CCCCCCC(=O)N*,3.34
*CCc1ccc(O*)s1,3.63
*COC(=O)O*,3.73
*c1ccc(OC(=S)c2ccc(*)s2)cc1,5.49
*Nc1ccc(NC(=O)NC(=O)NC(*)=O)s1,5.34
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,4.77
*Cc1ccc(NO*)s1,4.04
*CC(=S)C(=O)C(*)=S,5.61
*CCCc1ccc(*)cc1,3.14
*OC(F)(F)c1ccc(C(*)(F)F)s1,3.93
*CC(=O)c1ccc(-c2ccc(*)cc2)s1,4.58
*CNON*,3.62
*CC(*)(F)F,3.37
*Cc1ccc(NC(*)=S)s1,4.42
*OC(F)(F)OC(*)(F)F,3.8
*CNC(=S)C(*)=O,5.35
*CC(O*)C(F)(F)F,2.7
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,6.78
*CCOCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,3.82
*OC(=O)OC(*)=O,4.67
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,5.35
*CCc1ccc(-c2ccc(*)s2)cc1,3.75
*Cc1ccc(Cc2ccc(*)cc2)cc1,3.41
*CCC(O*)(C(F)(F)F)C(F)(F)F,3.05
*CC(=O)OC(*)=S,3.78
*CCC(=O)C(*)=S,4.76
*C(=O)NC(=O)c1ccc(*)cc1,4.45
*CC(=S)c1ccc(N*)cc1,5.48
*Cc1ccc(C(=S)c2ccc(*)s2)s1,4.36
*Nc1ccc(C(=S)c2ccc(*)s2)s1,6.36
*Nc1ccc(OC(*)=S)cc1,4.5
*CCOC(=O)NCCOCCOCCNC(=O)O*,3.53
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,5.94
*OC(F)(F)CC(*)(F)F,3.47
*NC(=O)c1ccc(C(*)=O)s1,5.39
*c1ccc(NC(F)(F)C(*)(F)F)s1,4.5
*c1ccc(CC(F)(F)C(*)(F)F)cc1,3.38
*CC(=O)Oc1ccc(*)s1,3.92
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,3.59
*Cc1ccc(C(=S)O*)cc1,3.95
*NC(=S)C(=O)O*,6.34
*NC(=S)c1ccc(C(*)=S)s1,6.57
*c1ccc(C(F)(F)C(=O)C(*)(F)F)cc1,3.57
*Oc1ccc(Oc2ccc(*)cc2)s1,3.82
*CC(=O)NC(*)=O,4.4
*CC(*)C,2.61
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.86
*CC(=O)C(=S)O*,4.8
*C(=O)C(F)(F)C(=O)C(*)(F)F,3.77
*Cc1ccc(Cc2ccc(*)s2)cc1,3.4
*Nc1ccc(Oc2ccc(*)s2)s1,4.14
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)cc2)cc1,7.13
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,8.28
*OCCC(=O)CC(=O)Oc1ccc(*)cc1,3.67
*NC(=O)NC(*)=O,5.39
*Nc1ccc(C(=S)c2ccc(*)cc2)s1,6.46
*CC(=O)Nc1ccc(*)s1,4.12
*Cc1ccc(-c2ccc(C(*)=S)s2)cc1,4.61
*Cc1ccc(-c2ccc(N*)s2)s1,4.54
*CC(=O)c1ccc(C(*)=S)cc1,4.71
*C(=O)c1ccc(OC(*)=S)s1,6.41
*CNCc1ccc(*)s1,3.53
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,5.49
*Nc1ccc(*)cc1,5.52
*C(=S)c1ccc(C(F)(F)C(*)(F)F)cc1,4.33
*Cc1ccc(Oc2ccc(*)s2)s1,3.63
*CCO*,3.15
*CCC(F)(F)C(*)(F)F,3.08
*CCCN*,3.03
*Cc1ccc(-c2ccc(C(*)=S)cc2)s1,4.8
*C(=O)c1ccc(Oc2ccc(*)s2)s1,5.0
*OC(=O)c1ccc(C(*)=O)cc1,5.0
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,3.7
