smiles,value
*OCCCCONC(*)=O,3.69
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,5.01
*Cc1ccc(C(=O)c2ccc(*)cc2)cc1,3.96
*CCc1ccc(C(*)=S)cc1,3.9
*Oc1ccc(-c2ccc(C(*)=O)cc2)s1,4.73
*NC(=S)c1ccc(O*)s1,5.61
*c1ccc(C(=S)c2ccc(C(=S)C(=O)Nc3ccc(-c4ccc(*)s4)cc3)s2)s1,7.03
*Cc1ccc(C(=O)O*)cc1,4.03
*OCC(F)(F)C(*)(F)F,3.5
*c1ccc(CC(F)(F)C(*)(F)F)s1,3.59
*CNCCCOCO*,3.54
*CC(*)F,3.36
*C(=O)CC(F)(F)C(*)(F)F,3.37
*NC(=O)Oc1ccc(*)s1,4.64
*c1ccc(C(F)(F)C(=O)C(*)(F)F)s1,4.05
*Oc1ccc(Oc2ccc(*)s2)s1,3.9
*NC(=O)c1ccc(-c2ccc(*)cc2)cc1,4.85
*c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)cc1,8.4
*CCON*,3.46
*Cc1ccc(OC(*)=S)cc1,3.66
*CNC(=O)c1ccc(*)s1,4.11
*Nc1ccc(NC(*)=S)s1,5.78
*Cc1ccc(C(=O)N*)cc1,3.96
*CCCCCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,3.79
*CCNc1ccc(*)cc1,3.54
*Nc1ccc(-c2ccc(C(=S)c3ccc(-c4ccc(Nc5ccc(*)cc5)s4)s3)s2)s1,6.88
*COc1ccc(O*)cc1,3.8
*Nc1ccc(C(=O)C(*)=S)s1,7.64
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,7.17
*Cc1ccc(Nc2ccc(*)s2)s1,3.83
*CCCCCCNC(=S)Nc1ccc(NC(=S)N*)cc1,4.17
*OC(=S)Oc1ccc(*)s1,4.48
*CCOC(=O)CCCCCCC(=O)O*,3.16
*NOC(=O)O*,4.3
*CC(=O)c1ccc(O*)cc1,3.8
*CCc1ccc(O*)cc1,3.46
*CC(=S)OC(*)=S,4.36
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,2.71
