smiles,value
*C*,6.8063
*CC(*)C,6.4609
*CC(*)CC,6.6228
*CC(*)CCC,6.738
*CC(*)CC(C)C,6.7268
*CC1CCC(*)C1,6.8566
*CC(*)CCCC1CCCCC1,6.5685
*C=CCCC*,4.5769
*C=CCC*,5.7686
*C=C*,1.4732
*CCC(C)C(*)C,6.6239
*C=CCCCCCCCC*,5.856
*C=CCCCCCCCCCC*,5.8693
*C=CCCCCCC*,5.78
*C=CCCCC*,5.6199
*CC(*)C1CC=CCC1,5.4849
*C1CCC1*,6.0558
*C=CCCCCC*,5.7935
*C=CC1CCC(*)C1,5.1969
*C=CC(C*)C(C)CC,4.91
*CCC=C(*)CCC,5.2335
*CC1(*)CCCCC1,6.2872
*C=CC(C)CCCCC*,5.4049
*CC/C=C(*)\C(C)(C)C,5.2577
*CC(*)c1ccccc1CC,5.1303
*CC(*)c1ccccc1C(=O)OC,4.8063
*CC(*)c1ccccc1C(=O)Oc1ccccc1,2.1638
*CC(*)c1ccccc1Cl,2.5286
*CC(*)c1cccc(C)c1,5.0775
*CC(*)c1ccc(C)cc1,4.8699
*CC(*)c1ccc(CCCCCC)cc1,4.9196
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,5.0066
*CC(*)c1ccc(Br)cc1,2.235
*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,4.4244
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,2.7738
*CC(*)c1ccc(C(=O)OC)cc1,4.6598
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,4.6433
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,4.6127
*CC(*)c1ccc(C(=O)CCCC)cc1,4.4871
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,3.5934
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,3.7318
*CC(*)c1ccc(F)cc1,2.1384
*CC(*)c1ccc(N(C)C)cc1,3.7056
*CC(*)c1ccc(C)cc1C,4.9248
*CC(*)c1cc(C)ccc1C,4.9087
*CC(*)c1cc(Cl)ccc1Cl,2.784
*CC(*)c1cc(Br)ccc1OCCCC,4.5234
*CC(*)c1cc(Br)ccc1OCC,4.4644
*CC(*)c1cc(Br)ccc1OC(C)C,4.6823
*CC(*)c1cc(C)cc(C)c1,4.7319
*CC(*)c1ccc(C)c(C)c1,4.8262
*CC(*)c1ccc(Cl)c(C)c1,4.8762
*CC(*)c1ccc(Cl)c(Cl)c1,2.4525
*C(F)(F)C(*)(F)c1ccccc1,5.4751
*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,3.3487
*CC(*)c1ccc2ccccc2c1,3.4472
*CC(*)c1cccc(C)n1,4.9415
*CC(*)c1ccc(C)nc1,4.7592
*CC(*)n1cc2ccccc2n1,3.5251
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,5.5708
*CC(*)O,6.4144
*CC(*)C=O,4.3172
*CC(*)C(C)=O,5.4371
*CC(*)C#N,7.7739
*CC(*)(C)C#N,7.6507
*CC(*)n1c2ccccc2c2ccccc21,3.9624
*CC(*)OC,5.5422
*CC(*)OCC,5.5149
*CC(*)OCCCCC,5.8682
*CC(*)OCCCCCC,5.7163
*CC(*)OC(C)=O,6.7973
*CC(*)OC(=O)CC,6.4816
*C=CC(C)C(*)C(=O)OC,5.5526
*CC(*)OC=O,6.9115
*CC(*)OCc1ccccc1,5.0748
*CC(*)OC(=O)C(F)(F)F,6.7735
*C=CC(C*)OC,5.1557
*C=CCC(C)(CC*)C(=O)OC,5.4239
*CC(*)CCc1ccc(C)cc1,4.9769
*CC(*)OCCCCCCCCCCCC,5.4484
*C(C)C(*)OC,5.311
*C1CC(*)(C#N)C1,6.7759
*C(C)C(*)O,6.1475
*CC(*)C(=O)C(C)(C)C,5.3161
*CC(*)C(=O)c1ccccc1O,1.6926
*C(*)O,6.5244
*CC(*)SCCCC,4.6594
*CC(*)SCC,4.983
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,8.4702
*C(OC(F)(F)F)C(*)(F)F,8.3525
*C(F)C(*)(F)OC(F)(F)F,8.2674
