smiles,value
*C(=O)NC1CCCC(*)O1,5.9929
*c1ccc2c(c1)c1cc(*)ccc1n2C,3.3599
*Oc1ccc(C(c2ccccc2)c2ccc(OC(*)=O)cc2)cc1,5.1036
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCC(*)=O)cc2)cc1,4.6871
*CCCNC(=O)O*,6.2786
*Oc1ccc(C(c2ccccc2)(c2ccccc2)c2ccc(OC(=O)CCCCCCCCC(*)=O)cc2)cc1,4.7831
*Cc1nc(-c2ccc(-c3csc(*)n3)cc2)cs1,3.9045
*CC(*)C(=O)OCCCOCC,5.7142
*c1cccc(-c2nc3cc4nc(*)*c4cc3*2)c1,3.4806
*c1ccc(Oc2cccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)c2)cc1,2.4395
*CCCCCCCCCCOCCCCCCOCCCCCCO*,6.0095
*CCCCCCCCCCN(C)C(=O)CCCCCCCCC(=O)N(*)C,5.5645
*C=Cc1csc(C=Cc2cccc(*)n2)c1CCCCCC,3.4585
*C=Cc1csc(C=Cc2cccc(*)n2)c1CCCCCCCC,3.4739
*COC(S1)=CC=C1O*,4.8181
*C=CCCCCCCCCCC(Cl)CCCCCCCCC*,5.9057
*C#Cc1cc(CCCCCC)c(*)s1,1.5455
*Oc1ccc(C(=O)OCCOCCOC(=O)c2ccc(OC(*)=O)cc2)cc1,4.4942
*CCCCCCNC(=O)C(O)C(O)C(=O)N*,5.7069
*CCCCCCCCCCNCCCCCCN*,5.4614
*CC(*)(C#N)C(=O)OCCCCCCC,6.3228
*C(C)=C(*)CCC,5.1084
*C=Cc1cc(CCCCCCCCCC)c(C=Cc2ccc(*)cc2)cc1CCCCCCCCCC,3.1782
*C1CCC1*,6.0558
*CCCCCCNC(=O)C(CCCCCCCCCCC)C(=O)N*,5.4945
*Oc1ccc(OC(=O)c2ccc(C(*)=O)cc2)cc1CCCCCCCCC,3.5957
*c1ccc(Cc2ccc(N3C(=O)c4ccc(*(C)(C)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,2.9543
*CCCCCCN(CC)C(=O)CCCCCCCCCCC(=O)N(*)CC,5.49
*NC1(F)CC(C(F)F)C(*)C(F)(F)C1F,6.2329
*C=Cc1ccc(*)cc1,3.3499
*Sc1cccc(Sc2ccc(Sc3ccc(*)cc3)cc2)c1,3.7476
C(F)(F)C(C=C1)=CC=C1C(F)(F)O,4.9458
*C(=O)Nc1nc(*)c(C#N)n1C,3.3492
*c1ccc(-c2ccc(N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,3.23
*CCCCCOc1cccc(C(=O)OC(=O)c2cccc(O*)c2)c1,3.9498
*Nc1nc(Nn2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)nc(N(CCCC)CCCC)n1,2.5894
*CC(=O)NC(=S)*,2.9137
*C=CC(C)=C(C)C=Cc1ccc(-c2ccc(*)s2)s1,1.6111
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,5.0066
*c1ccc(-c2ccc(*)c(C)c2)cc1C,4.0882
*CC(*)CCCC1CCCCC1,6.5685
*CCCCCCC(=O)NCCCCCCNC(=O)CCCO*,5.9475
