smiles,value
*CC(=O)CC(C=C1)=CC=C1*,4.4275
*CCSS*,5.0819
*OC1(C)CC(C)(C)C(C)(N2CCCC(*)C2)C1C,4.5909
*CCCOC(=O)CCCCCCC(=O)O*,6.8719
*C1C=C(C)C(*)C1,5.4126
*Oc1ccc(C(=O)Oc2ccc(Cc3ccc(OC(=O)c4ccc(OC(=O)c5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,2.8593
*CC(*)c1cc(Br)ccc1OC(C)C,4.6823
*CCCCCOC(=O)COCC(=O)O*,6.1938
*c1ccc(-c2ccc(-c3cc(SCCCC)c(*)s3)cc2)cc1,2.8074
*C(=O)Nc1cccc(NC(=O)c2ccc3*c(-c4cc(-c5nc6cc(*)ccc6*5)cc(N5C(=O)c6ccccc6C5=O)c4)nc3c2)c1,2.8553
*CC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2*,2.8005
*CCCCCOC(=O)CCCCCCCC(=O)O*,6.624
*CCOCCOCCOCCOC(=O)CCSCCC(=O)O*,5.2314
*Nc1ccc(*)cc1,4.2754
*CCNC(=S)*,3.6462
*c1ccc(-c2ccc(-c3cc(-c4ccccc4)c4cc5nc(*)cc(-c6ccccc6)c5cc4n3)cc2)cc1,2.7945
*CCOC(=O)NCCCCCCCCCCNC(=O)O*,6.1704
*Cc1ccc(C*)c(C#N)c1,4.6467
*CC(*)C(=O)Oc1cccc(C)c1,4.8157
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)(F)F)cc5C4=O)cc3)cc1)C2=O,2.4961
*CC(C)O*,5.7371
*CC(*)C(=O)OCCSCC,4.7676
*c1cccc(*)c1,4.1523
*C(c1cccs1)=c1ccc(=c2ccc(=C(c3cccs3)c3ccc(-c4ccc(*)s4)s3)s2)s1,1.0912
*Sc1ccc(C(=O)CNNCC(=O)c2ccc(*)cc2)cc1,3.4329
*CCCCCCCCCCNC(=O)NCCCCCCCCNC(=O)N*,5.7663
*C=CCC*,5.7686
*Oc1ccc(Cc2ccc(Cc3ccc(OC(*)=O)cc3)cc2)cc1,4.6825
*CCCCCCNC(=O)CCCCC(=O)NCC(=O)N*,5.5245
*CCCCCCCCCCOC(=O)CCCCCC(=O)O*,6.6472
*Oc1ccc(NC(=O)c2ccc(*(C)(C)c3ccc(C(*)=O)cc3)cc2)cc1,3.586
*Nc1cccc2c(NC(=O)c3cccc(C(*)=O)c3)cccc12,3.1281
*C(=O)CCN1CCN(CCC(=O)N2CCN(*)CC2)CC1,3.6334
*CC(*)C(=O)NCCCC,5.6336
*c1cccc(-c2nnc(*)n2-c2ccccc2)c1,3.9408
*CCCNC(=O)CCCCC(=O)NCCCN(*)C,4.7916
*CNC(S1)=CC=C1C(=O)*,3.1605
*CCCCCCCCCCCCOC(=O)NCc1ccc(CNC(=O)O*)cc1,5.4661
*CC(O)COc1ccc(O*)cc1,4.733
*CC(*)C1CCCCC1C,6.4756
*CCCCCCOC(=O)NCCCCNC(=O)O*,6.4958
*Nc1ccc(*)cc1CC,3.1433
*C=CC1CC(*)C(C#N)(*(C)(C)C)C1,5.5889
*CCOCCOCC#CC#CCOCCOCCOC(=O)NCCCCCCNC(=O)O*,4.8627
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(C)(C)c3ccc(C(C)(C)c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc3)cc1)C2=O,2.4803
*CC(C)(C)COC(=O)NCCNC(=O)O*,6.5733
