smiles,value
*Oc1ccc(C(CC)c2ccc(OC(*)=O)cc2)cc1,4.7325
*CC(C)(C)C(=O)O*,6.7185
*CCOC(=O)C1C2C=CC(C2)C1C(=O)O*,5.3661
*CC(*)(C#N)C(=O)OC(C)C,5.8301
*CC(*)C(=O)C(C)(C)C,5.2414
*CC1CC1COC(=O)Nc1ccc(C)c(NC(=O)O*)c1,4.7181
*NOC(=S)O*,3.9632
*CC(*)C(=O)OC(C)C,6.455
*CC(*)CCCC1CCCCC1,7.5725
*CC(*)C(=O)OCC,6.7935
C(F)(F)NC(F)(F)N,8.7968
*c1ccc(Sc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,2.3234
*CC(*)CCC,7.2705
*C=CC(C*)(C(F)(F)F)C(F)(F)F,5.7329
*C=CC(C)(C)CC(C#N)C*,5.2738
*CC(C)(C)COC(=O)Nc1ccc(NC(=O)O*)cc1,4.4894
*C=CC1=C(O)C(O)=C(*)C1,0.8286
*CC(*)(F)C#N,7.0615
*OC(C)COC(=O)CCCCC(*)=O,6.5974
*ON(C(F)(F)F)C(F)(Cl)C(*)(F)F,6.6835
*C(=O)OCCCCOC(=O)N1CCN(*)CC1,6.4265
*CC(C#N)(C#N)C(C#N)C(C#N)(C#N)C(C#N)C(C#N)(C#N)C(C#N)C(C#N)(C#N)*,5.9056
*CCCCCCCCCCCC(=O)O*,6.8377
*C=CC(C)C(*)C(=O)OCCCC,5.4974
*CC(*)(C)C(=O)OCCc1ccccc1,4.9946
*CC1CCC(*)C1,7.9703
*SC(*)(F)F,5.4099
*CCOC(=O)NCCSCCCCSCCNC(=O)O*,5.1094
*CC(CCl)(CCl)C(=O)O*,6.1969
*CC(C)CO*,7.3501
*CC(C#N)(C#N)*,6.9314
*CCC(C)C(C)CCNC(=O)c1cccc(C(=O)N*)c1,4.7199
*C#CC(=C(*)c1cnc2ccccc2c1)c1cnc2ccccc2c1,0.5725
*Oc1ccc(C2(c3ccc(OC(=O)c4cccc(C(*)=O)c4)c(C)c3)c3ccccc3-c3ccccc32)cc1C,3.0176
*c1cccc(-c2ccc(-c3ccc(*)s3)s2)n1,2.0464
*CCCCCCCCC(*)Cl,6.86
*CC1CCC(COC(=O)NCCSCCCSCCNC(=O)O*)CC1,5.0712
*CC(*)C(=O)NCCO,5.7124
*CC1CCC(COC(=O)C2CCC(C(=O)O*)CC2)CC1,6.4924
*C=C(*)C(C)=O,2.1853
*CC(*)C(=O)O,6.1071
*C1CCC1*,6.5419
*OC(*)CCC#N,6.9611
*NNC(=O)C(=O)NNC(=O)CCCCCCCC(*)=O,3.7266
*C=C(*)c1ccsc1,3.1293
*OC(*)CCl,7.1982
*CCCCCCCCCCOC(=O)CCCCCCCCCCCCCCCCC(=O)O*,6.0542
*Oc1c(Cl)cc(C2(c3cc(Cl)c(OC(*)=O)c(Cl)c3)CC3CCC2C3)cc1Cl,4.6838
*ON(C(F)(F)F)C(F)(C(*)(F)F)C(F)(F)F,7.0955
*CC(*)C#N,7.4435
*CC1CCC(COC(=O)NCCSCCCCCSCCNC(=O)O*)CC1,5.4414
*CC(*)CO,7.4192
*NC(=O)NO*,4.7317
*CC(*)OC(=O)OCC(F)(F)F,7.9003
*C=C(*)C#N,0.5068
*CCOCCOC(=O)CCCCS(=O)(=O)CCCCC(=O)O*,5.7504
*SC(*)=S,1.7109
*Nc1ccc(-c2ccc(NC(=O)c3cc(C(*)=O)cc(S(=O)(=O)c4ccccc4)c3)cc2)cc1,2.4795
*c1cc(C#N)c(*)s1,1.0894
*CCCCOC(=O)C1CCC(C(=O)O*)CC1,6.5835
*CC(*)(C#N)C(=O)OCC,6.1989
*CC(*)C(=O)c1ccc(CC)cc1,3.9853
*CC(*)OC(=O)CC1CCCC1,6.4741
*SC1CCCC(*)C1,5.2199
*c1cccc(-c2nc3cc4nc(*)c(-c5ccccc5)nc4cc3nc2-c2ccccc2)c1,1.9959
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,4.8032
*CCCCCCC(Cl)C(*)Cl,6.7965
*CC(*)OC(=O)C(F)(F)F,6.258
*C(=O)OC(=O)O*,5.645
*CCC(Cl)C(*)Cl,6.4523
*CCCCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,4.214
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,6.718
