smiles,value
*Nc1ccc(NC(=O)c2cc(NC(=O)c3ccncc3)cc(C(*)=O)c2)cc1,2.9949
*Nc1ccc(C(*)=O)cc1,2.6498
*CCCNC(=O)CCCCCCCC(=O)NCCCNC(=O)C(=O)N*,4.6809
*c1cc(-c2sc(-c3cc(C)c(*)s3)cc2C)c2cccccc1-2,1.3327
*CC(CCC)C(CCC)COC(=O)c1ccc(C(=O)O*)cc1,4.4708
*Sc1c(F)c(F)c(*)c(F)c1F,3.6361
*OC(=O)OC1COC2C(*)COC12,6.6786
*CC(*)C(=O)NCCC,6.5449
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.4578
*c1ccc(*)n1CCC(=O)OC(C)C(=O)OCC,2.05
*C#CC=C*,1.3369
*C(=O)c1ccc(C(=O)N2CCN(*)CC2)cc1,4.7036
*CC(*)C(=O)OCF,6.1736
*OC(CC(*)=O)C1CO1,6.1493
*CC(*)(C)C(=O)OCCC1CCCCC1,6.5993
*CCCCCCCCCCOC(=O)CCC(=O)O*,6.6201
C(=O)C(=S)OC(=S),1.8121
*C(=O)OCC(C)(C)COC(=O)N1CCN(*)CC1,6.4401
*C1C=CC(*)CC1,5.4843
*C(Cl)=C(Cl)C(Cl)(Cl)C(*)(Cl)Cl,3.2001
*CCCC1CCN(C(=O)SSCCCCSSC(=O)N2CCC(*)CC2)CC1,4.297
*c1ccc(*)c(O)c1,2.8315
*c1cnc(*)s1,1.7987
*CC1CC1CO*,6.9566
