smiles,value
*C*,3.782229467
*CC1CCC(*)C1,3.974097453
*C=CCCC*,4.023885087
*C=C*,1.202427045
*C1CCC1*,4.005295875
*C=CC1CCC(*)C1,4.219920012
*CC1(*)CCCCC1,4.282312362
*CC(*)c1ccccc1Cl,3.342465595
*CC(*)c1ccc(Br)cc1,4.471135618
*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,3.818478151
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,3.713275921
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,2.675344167
*CC(*)c1ccc(F)cc1,2.107396678
*CC(*)c1cc(Cl)ccc1Cl,3.072309709
*CC(*)c1ccc(Cl)c(C)c1,3.974659688
*CC(*)c1ccc(Cl)c(Cl)c1,2.386012814
*C(F)(F)C(*)(F)c1ccccc1,3.978679585
*CC(*)c1cccc(C)n1,3.867285095
*CC(*)c1ccc(C)nc1,3.470969023
*CC(*)n1cc2ccccc2n1,3.499907785
*CC(CC(*)(C#N)C(=O)OC)c1ccccc1,3.891502647
*CC(*)O,3.656959574
*CC(*)C#N,2.895271077
*CC(*)(C)C#N,3.789825812
*CC(*)OC=O,3.533489237
*CC(*)OCc1ccccc1,4.196305112
*CC(*)OC(=O)C(F)(F)F,3.669538501
*C=CC(C*)OC,3.898258006
*C1CC(*)(C#N)C1,3.060404425
*CC(*)C(=O)C(C)(C)C,3.590445034
*CC(*)C(=O)c1ccccc1O,1.636129177
*C(*)O,3.776381919
*CC(*)SCC,4.291021061
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,3.432100858
*C(OC(F)(F)F)C(*)(F)F,4.071488262
*C(F)C(*)(F)OC(F)(F)F,3.262811786
*C(F)(F)C(*)(F)OC(F)(F)F,3.352937742
*CC(*)SC,4.118807515
*CC(*)(F)C(C)=O,2.839275139
*CC(*)C(=O)c1ccc(Br)c(OC)c1,2.847673724
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,3.109414625
*CC(*)C(=O)c1ccc(CC)cc1,3.1862465
*CC(*)OC(=O)c1ccc(OC(C)=O)cc1,3.314907892
*CC(*)OC(=O)c1cccc(Br)c1,2.866851933
*CC(*)OC(=O)c1cccc(Cl)c1,2.643961059
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,2.785217851
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.105726226
*CC(*)OC(=O)C(F)(F)C(F)(F)F,3.306461218
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.847059768
*CC(*)OC(=O)c1ccc(OC)cc1,3.806277763
*CC(*)OC(=O)c1ccccc1C,3.868663167
*CC(*)OC(=O)c1cccnc1,2.96132315
*C=C(*)c1ccccc1,1.210500161
*CC(*)c1cccs1,3.310409463
*CC(*)c1nc(C)nc(C)n1,3.314477494
*CC(OC)C1C(=O)OC(=O)C1*,2.988960737
*CC(*)n1ccnc1,3.757683685
*CC(*)C(=O)c1ccc(Br)cc1,1.92374774
*CC(*)N1CCCC1=O,4.117333515
*CC(*)C(=O)O,3.529905669
*CC(*)C(=O)OCC=C,3.597512951
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,3.798582239
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.126137361
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.829325647
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F,3.694099228
*CC(*)(C)C(=O)Oc1ccccc1,3.970261242
*CC(*)(C)C(=O)OCCc1ccccc1,4.309645151
*CC(*)(C)C(=O)Oc1ccc2ccccc2c1,3.503628545
*CC(*)(C)C(=O)OCCBr,3.846658474
*CC(*)(C)C(=O)OC(C(F)(F)F)C(F)(F)F,2.575495691
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,2.920501628
*CC(*)(Cl)C(=O)OC,2.917172672
*CC(*)(Cl)C(=O)OCC,3.420682729
*CC(*)C(N)=O,4.040519524
*CC(*)(C#N)C(=O)OC,3.115882216
*CC(*)C(=O)OCF,3.564052551
*CC(*)C(=O)Oc1cccc(C)c1,3.382767006
*CC(*)C(=O)Oc1ccc(OC)cc1,3.387780652
*CC(*)C(=O)Oc1ccc(C#N)cc1,2.96279729
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,3.88078536
*CC(*)(F)C(=O)OC,3.800515807
*CC(*)(CF)C(=O)OC,3.840973709
*CC(*)(Cl)C(=O)OC(C)C,3.895114423
*CC(*)C(=O)Oc1ccc(Cl)cc1,3.5111881
*CC(*)(C#N)C(=O)OCC(C)C,3.408834175
*C1C(=O)OC(=O)C1*,2.175723291
*CC(*)F,3.929111605
*CC(*)Cl,3.968815669
*CC(*)(F)F,3.29896179
*CC(*)(Cl)Cl,3.066791885
*C(F)C(*)(F)F,3.230630406
*CC(*)(F)C(F)(F)F,4.198460615
*CC(*)C(F)(F)F,3.701134006
*CC(*)Br,3.280738256
*CCC(F)(F)C(*)(F)Cl,3.866704043
