smiles,value
*c1ccc(-n2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)c(C)c1,0.536193114
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(CC(*)=O)cc3)cc2)cc1,2.443923888
*Nc1nc(*)nc(-c2ccccc2)n1,2.139433172
*c1ccc(-c2csc(-c3nc(*)cs3)n2)cc1,2.175486789
C(F)(F)NC(F)(F)C(S1)=CC=C1,2.566683751
*NC(S1)=CC=C1C(=O)O*,1.780303772
*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,0.602503556
*Nc1ccc(-c2ccc(NC3=CC(=O)C(*)=CC3=O)cc2)cc1,0.969196921
*CONC(=O)*,2.420746197
*Oc1ccc(Oc2cccc(*)n2)c(-c2ccccc2)c1,2.602529191
*CC(COC)O*,4.110930235
*CC(*)O,3.656959574
*Oc1c(C)cc(*)cc1C(C)CCCCCC,3.611625748
*CCCOC(=O)C(=O)O*,2.578903213
*CCCCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,3.159635341
*CC(Cl)(C#N)C1C=CC(*)CC1,3.385171086
*CCCCOC(=O)Cc1ccc(CC(=O)O*)cc1,3.58919431
*C(*)(F)F,2.63798614
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CC3CCC2C3)cc1,3.411834693
*NC(=O)C(C=C1)=CC=C1C(S2)=CC=C2*,2.039649502
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(C)c2)cc1C,4.065412007
*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)*,0.598934434
*c1nnc(C2CC3(CC(*)C3)C2)o1,3.828505167
*CCc1nnc(*)n1N,3.884989462
*CCCCCCCCCNC(=O)N*,3.832037014
*Nc1ccc(*)cc1CO,3.334803961
*CCc1ccc(Cc2ccc(CCS*)cc2)cc1,3.660169448
*c1cc(C#N)c(*)s1,0.496755555
*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c(OC)c2)cc1OC,0.829599473
*CCCCCCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,2.115809257
*COCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,2.161512947
*OCC(F)(F)C(F)(F)C(F)(F)COc1nc(F)nc(*)c1F,3.29323968
*C(F)(F)C(*)(F)OC(F)(F)F,3.352937742
*OC(=O)Oc1ccc(OC(=O)OC2CC3CC(*)CC(C2)O3)cc1,3.513896485
C(F)(F)C(F)(F)C(C=C1)=CC=C1C(=S),1.506022966
*ON(C(F)(F)F)C(F)(Cl)C(*)(F)F,2.908695755
*c1ccc(*)n1CC(=O)NO,2.29404632
*c1cc(CCCCCCCCCCCCCCCCCCCCCC)c(*)s1,2.297262318
*C(C=C1)=CC=C1OC(C=C2)=CC=C2O*,3.474503011
*C=C(*)c1ccc2ccc3cccc4ccc1c2c34,2.64745584
*c1ccc(-c2ccc(-c3cc(OCCCCCCCCCCCC)c(*)s3)s2)s1,1.692292381
*C(*)(*)C(*)(*)Cl,3.91621029
*C(=S)N(*)CCC,2.113368472
*Oc1ccc(NC(=O)c2ccc(*(C)(C)c3ccc(C(*)=O)cc3)cc2)cc1,2.127852812
*CC(CBr)(CBr)CO*,3.702881661
*Oc1ccc(OC(=O)CCCCCCCCC(*)=O)cc1,3.845431134
*CC(*)(Cl)C(=O)OC,2.917172672
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(-c5nnc(*)n5-c5ccc(C)cc5)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,2.928690214
*NC(S1)=CC=C1OC(S2)=CC=C2*,3.168050546
*Oc1c(CCC)cc(*)cc1-c1ccccc1,3.25940053
*CC(F)(F)C(F)(F)COC(=O)NCCCCCCNC(=O)O*,4.035952671
