smiles,value
*CC(=O)CC(*)=S,3.0632
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,3.0595
*Nc1ccc(OC(*)=S)cc1,2.1606
*OC(=S)OC(*)=O,3.1486
*CC(=S)C(=O)O*,3.8755
*CC(*)(F)F,1.1415
*CC(=O)NC(*)=S,2.9562
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,1.9244
*Cc1ccc(-c2ccc(C(*)=S)cc2)cc1,2.7075
*C(=S)OC(=S)c1ccc(*)s1,4.0075
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,4.1032
*Cc1ccc(C*)cc1,0.8499
*NC(=O)Oc1ccc(*)cc1,1.3447
*CCC(F)(F)C(*)(F)F,0.4489
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,2.1866
*c1ccc(C(=O)C(F)(F)C(*)(F)F)cc1,3.4595
*CC(=S)c1ccc(C(*)=S)cc1,2.9742
*CC(=O)NC(*)=O,1.5835
*NC(=O)NO*,1.9635
*Nc1cccc(C(*)=O)c1,2.356
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,2.8757
*CC(=O)OC(*)=O,2.2158
*OC(F)(F)CC(*)(F)F,0.7292
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)s2)cc1,2.3385
*Sc1ccc(*)cc1,2.0372
*Nc1ccc(C(=O)O*)cc1,2.5642
*NCCCNC(=O)NC(*)=O,0.6578
*C(=S)NC(F)(F)C(*)(F)F,3.1022
*OC(=O)c1ccc(C(*)=O)cc1,3.2451
*NC(=O)NC(=O)c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)s1,2.9241
*Nc1ccc(C(=O)C(*)=S)s1,4.1937
*OCCC(=O)CC(=O)Oc1ccc(*)cc1,2.0323
*CC(=S)c1ccc(O*)s1,3.131
*COc1ccc(O*)cc1,0.9466
*CONO*,0.421
*CC(=O)Nc1ccc(*)cc1,1.369
*CC(*)C,0.4343
*NC(F)(F)NC(*)(F)F,1.6576
*CC(=O)c1ccc(O*)cc1,2.3793
*CC(=S)CO*,2.5664
*NC(=O)c1ccc(C(*)=S)cc1,3.4516
*CCCCCOCO*,0.5413
*CCCCCS*,0.5118
*COC(=S)O*,2.0771
*CNCCNC(=O)OC*,0.5903
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)s2)s1,2.5399
*c1ccc(C(F)(F)NC(*)(F)F)s1,2.4083
*OC1C(CO)OC(*)C(O)C1O,0.8344
*CCc1ccc(C(*)=S)cc1,3.1161
*Nc1ccc(Oc2ccc(*)cc2)cc1,1.1501
*CNc1ccc(O*)cc1,0.7695
*CCC(=S)O*,2.069
*Nc1ccc(-c2ccc(C(*)=S)cc2)cc1,2.5787
*Oc1ccc(OC(*)=O)s1,1.7594
*Cc1ccc(CC(*)=S)cc1,2.6743
*CC(=O)C(=S)c1ccc(*)s1,3.7805
*CC(=O)c1ccc(C(*)=O)cc1,2.7979
*c1ccc(C(F)(F)CC(*)(F)F)s1,2.025
*CC(=O)C(=S)O*,2.8847
*CONC(*)=O,1.2523
*Cc1ccc(NO*)cc1,0.7333
*NOC(=O)NCC(=O)NC(*)=O,2.0185
*NC(=S)NO*,2.2894
