smiles,value
*CC(=O)c1ccc(-c2ccc(*)s2)s1,2.8128
*OC(=S)Oc1ccc(*)s1,2.5249
*Cc1ccc(C(=O)c2ccc(*)cc2)cc1,2.314
*C(=O)CC(F)(F)C(*)(F)F,2.8445
*CNc1ccc(N*)s1,0.5629
*COc1ccc(O*)s1,0.8857
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,3.3959
*CNCC(*)=S,2.6857
*Oc1ccc(Oc2ccc(*)cc2)s1,1.2264
*Oc1ccc(C(F)(F)C(*)(F)F)cc1,1.7411
*Nc1ccc(C(=O)c2ccc(*)s2)cc1,2.4618
*NC(F)(F)CC(*)(F)F,1.3115
*C(=S)C(F)(F)CC(*)(F)F,4.3183
*CC(=S)c1ccc(N*)cc1,3.0309
*CCCc1ccc(*)s1,0.9489
*CC(=S)c1ccc(O*)cc1,3.1915
*Nc1ccc(OC(*)=S)s1,2.3032
*CNCO*,0.7624
*CNC(=S)c1ccc(*)s1,2.3974
*CCNc1ccc(*)cc1,0.6326
*C(=S)C(=O)CCNc1ccc(C(=S)c2ccc(*)cc2)cc1,3.8901
*NC(=O)OC(*)=O,2.561
*NC(=O)Oc1ccc(*)s1,1.551
*c1ccc(C(F)(F)NC(*)(F)F)cc1,2.1641
*Nc1ccc(-c2ccc(C(*)=S)s2)cc1,3.1722
*CC(*)F,0.874
*Nc1ccc(Oc2ccc(*)s2)cc1,1.1598
*c1ccc(C(=S)c2ccc(C(=S)C(=O)Nc3ccc(-c4ccc(*)s4)cc3)s2)s1,3.9089
*CCO*,0.3936
*CC(=O)c1ccc(C(*)=O)s1,3.1941
*OC(=O)c1ccc(C(*)=O)s1,3.3779
*NC(=O)c1ccc(O*)s1,2.2174
*Nc1ccc(*)cc1,0.9827
*Nc1ccc(C(=O)c2ccc(*)s2)s1,3.0129
*CNCNC(=O)NC(=O)N*,0.7092
*NOC(=S)O*,2.7178
*NC(=O)NC(*)=S,3.7029
