smiles,value
*CCCCCCSSCCCCSS*,4.2836
*CC(=O)C(=S)O*,2.0217
*CC(OCC)C(C#N)(C#N)C(*)(C#N)C(=O)OC,5.4071
*Oc1ccc(OC(*)=O)s1,3.6706
*OC(C)CCOC(=O)CCCCS(=O)(=O)CCCCC(*)=O,6.2709
*CCOCCOCCOC(=O)CCCCCCC(=O)O*,6.184
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,3.4166
*Cc1ccc(NO*)cc1,4.426
*C(=O)c1ccc(C(=O)C(*)=S)s1,1.1902
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,2.7314
*c1cccc(-c2nc3cc4nc(*)c(-c5ccccc5)nc4cc3nc2-c2ccccc2)c1,1.9959
*C=CC(C*)(C(F)(F)F)C(F)(F)F,5.7329
*CNc1ccc(-c2ccc(*)s2)cc1,3.1255
*NC(=O)C(=S)c1ccc(*)cc1,1.5619
*CC(*)C(=O)OCF,6.1736
*NC(=O)Oc1ccc(*)s1,3.4227
*Cc1ccc(CC(*)=S)cc1,2.9253
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,3.3861
*NC(=O)Nc1ccc(*)s1,3.137
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,2.8214
*Nc1ccc(Br)cc1-c1ccc(NC(=O)c2ccc(C(*)=O)cc2)cc1,2.9894
*CC(=O)C(=S)c1ccc(*)cc1,2.4428
*Nc1ccc(NC(=O)NC(=O)NC(*)=O)s1,3.2632
*OC1C(CO)OC(*)C(O)C1O,7.4757
*NC(=O)OC(*)=O,4.9145
*CC1CCC(*)C1,7.9703
*NC(=O)c1ccc(C(*)=S)cc1,2.4238
*CCC1CC(*)C2CCCC12,7.4997
*CC(F)(F)C(F)(F)C(F)(F)COC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,6.4326
*CCCCCS*,4.989
*CC(*)C(=O)c1ccc(CC)cc1,3.9853
*c1ccc(NC(F)(F)C(*)(F)F)cc1,4.1626
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,1.7624
*CC(C)(C)COC(=O)Nc1ccc(NC(=O)O*)cc1,4.4894
*NC(=O)C(=S)C(*)=O,1.4363
*C(F)C(*)(F)OC(F)(F)F,7.802
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.7185
*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,2.0204
*C(=O)OC1CCC(OC(=O)N2CCN(*)CC2)CC1,6.2573
*Nc1ccc(C(=O)O*)cc1,3.977
*CCOC(=O)NCCSCCCCSCCNC(=O)O*,5.1094
*CC(*)(C)C(=O)OCCc1ccccc1,4.9946
*CCC(=O)O*,6.684
*c1ccc(-c2ccc(C(=S)c3ccc(*)s3)s2)cc1,1.0659
*CNc1ccc(C(*)=O)cc1,3.1969
*CC1CCC(CNC(=O)CCCCCC(=O)N*)CC1,5.2823
*CC(=O)c1ccc(C(*)=O)cc1,2.9172
*c1ccc(C(=O)C(F)(F)C(*)(F)F)cc1,3.5762
*CC(=O)C(=S)C(*)=O,1.4812
*OC(=O)c1ccc(C(*)=O)s1,3.202
*NC(=O)Nc1ccc(*)cc1,3.4515
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,1.8638
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,1.9403
*C(=O)c1ccc(OC(*)=S)s1,1.6701
*Cc1ccc(C(=O)c2ccc(*)s2)s1,2.7131
*CC(*)(F)C#N,7.0615
