smiles,value
*CCNC(=O)C(OC)C(OC)C(=O)N*,5.4257
*c1ccc2c(c1)Cc1cc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)ccc1-2,2.6588
*Oc1ccc(Oc2ccc(Oc3cccc(*)n3)cc2)cc1,4.1433
*NC(C#N)=C(C#N)NC(=O)c1ccc(C(*)=O)cc1,3.4817
*NNC(=O)CCCCCCCC(=O)NNC(=O)CCCCCCCCC(*)=O,6.2535
*C=Nc1ccc(N=Cc2ccc(-c3ccc(*)o3)o2)cc1,1.9396
*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CC(C)CCC(*)=O)cc2)C(=O)OC(C)CC)cc1,5.053
*OC(=O)C(=S)C(*)=O,2.3358
*C([2H])=C(*)[2H],1.4005
*CCOCCOC(=O)CCCCCC(=O)O*,6.5004
*CC(*)C(=O)c1ccc(Br)cc1,1.5897
*CCN(CCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1)c1ccccc1,4.1239
*CCCCCCCCCCCCc1nc2ccc(-c3ccc4nc(*)oc4c3)cc2o1,4.1955
*Cc1cc(C23CC4CC(CC(C4)C2)C3)cc(CN(*)C)c1O,4.5466
*CCCN(*)C,4.8968
*CCS(=O)(=O)CCN1CCN(*)CC1,4.9753
*CC(*)CCC,6.7336
*CC(C)(CC)CO*,5.6322
*Oc1ccc(C(=O)c2ccc(C(=O)NOC(*)=O)s2)cc1,3.9191
*CCCNC(=O)CCCCCCCCC(=O)NCCCOCCO*,5.9244
*c1sc(*)c2nc(CCCCCC)c(CCCCCC)nc12,0.3579
*C=CC1CC(*)C(C(=O)OC)C1,5.39
*CCCCOC(=O)OCC1CCC(COC(=O)O*)CC1,7.0222
*OC1C(C)(C)C(*)C1(C)C,5.3323
*Oc1ccc(C(C)=Nc2ccccc2N=C(C)c2ccc(*)cc2)cc1,3.9432
*Nc1c(Cl)cc(*)cc1Cl,4.3983
*CCCCCCCCCCOC(=O)CCCCCCCCC(=O)O*,6.7107
*c1cc(CCCCCCCCCC)c(*)[nH]1,2.8756
*CC(*)C(=O)NCO,6.0779
*c1ccc(-c2ccc(*)c(CCCCCC)n2)nc1CCCCCC,3.9211
*CCCCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCO*,5.6858
*CCCCCCCCCOc1ccc(C=CC=Cc2ccc(O*)c(C)c2)cc1C,3.4115
*C=Cc1ccc(*)s1,2.7814
*CC1CCC(CNC(=O)CCCC(=O)N*)CC1,6.0036
*CCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O*,6.0228
*CC(*)OC(=O)c1cccc(Cl)c1,1.7974
*NC(C=C)CC(*)=O,5.5439
*CC(*)C(=O)OCCCSCCC#N,5.408
*C=C(*)c1cccc(C#C)c1,0.069
*C=Cc1cc(OCCCCCC)c(*)cc1OC,2.3505
*CC(*)n1c(C)c(C)c2ccccc21,2.733
*CCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,6.7022
*OC1C(COC(C)=O)OC(*)C(OC(C)=O)C1O,5.6034
*CC(*)(C)C(=O)OCC(F)(F)F,6.5436
*c1cc(*)c(O)c(C=Nc2ccc(C(=O)O)cc2)c1,2.8212
*C(*)F,6.7608
*CCCOC(=O)CCCCCCCCCC(=O)O*,6.7744
