smiles,value
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)N(C)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,2.3425
*CC(OC)C(C(=O)O)C(*)C(=O)O,6.3287
*CC(*)(C)C(=O)OCCC#N,6.1882
*c1ccc(C(c2ccccc2)c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,2.3895
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1Br,3.8867
*C(=O)Oc1ccc(C(*)=S)cc1,2.9816
*OC(C(*)=O)C(C)C,6.2703
*c1cc2c(s1)-c1sc(-c3sc(-c4sc(*)c5c4OCCO5)c4c3OCCO4)cc1C2=C(C#N)C#N,0.9952
*CC(*)OC(=O)CC1CCCC1,6.5327
*NC(C)CCCCC(*)=O,5.5854
*c1ccc(Oc2cc(C(C)(C)C)ccc2Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,2.2831
*C=CC1CC(*)C2C(=O)N(CCC)C(=O)C12,5.2391
*CC(CS(=O)(=O)CCCCC)O*,6.4419
*OC(=O)c1ccc(SCCCCSc2ccc(C(*)=O)cc2)cc1,3.6584
*CCCCCNC(=O)CCCCCCCCOCCCCCCCCC(=O)NCCCCCO*,5.9278
*C=Cc1cc(OCC)c(*)cc1OCC,4.2145
*C=C(*)OCCCC,4.7326
*CC(*)(C)C(=O)OCC(F)(F)C(F)F,6.3988
*c1ccc(-c2ccn3sc4nc5nc6c(cc5oc-4cc-3nc2)Nc2nc3ccc(*)cc3nc2O6)cc1,1.535
*c1ccc(C(=O)Nc2ccc(Oc3ccc(NC(=O)c4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3)cc2)cc1,1.639
*CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,6.8832
*Nc1ccc(C(=O)c2ccc(*)s2)cc1,2.9895
*CCOC(=O)Nc1ccc(-c2ccc(NC(=O)O*)c(C)c2)cc1C,4.3385
*c1ccc(-c2nc3cc(-c4ccc5nc(*)c(-c6ccc7ccccc7c6)nc5c4)ccc3nc2-c2ccc3ccccc3c2)cc1,2.9636
*C(=O)CCCCCCCCC(=O)N1CCN(*)CC1,5.5924
*c1cc(C(c2ccc(O)c(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,2.3838
*CCOc1ccc(C(=O)OC(=O)c2ccc(O*)cc2)cc1,4.4185
*CC(C)(C)COC(=O)NC1CCC(CC2CCC(NC(=O)O*)CC2)CC1,5.9159
*OC(=S)c1ccc(C(*)=O)cc1,3.2688
*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCCOCCOCC)cc1,5.2606
*CCCCCCCCCC(=O)O*,6.6843
*CCCC(*)C,7.1052
