smiles,value
*c1ccc(C(F)(F)CC(*)(F)F)s1,7.1393
*C(=O)c1ccc(OC(*)=S)cc1,6.7719
*CC(=O)OC(*)=O,8.5901
*NC(=O)c1ccc(O*)s1,6.5697
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,5.3929
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,6.2005
*OC(=S)c1ccc(-c2ccc(*)cc2)cc1,5.9851
*C(=S)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,5.4248
*CC(=O)O*,8.2018
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,4.896
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)cc1,6.162
*CC(=S)C(=O)O*,6.5803
*Nc1cccc(C(*)=O)c1,6.1179
*CC(=O)c1ccc(C(*)=O)cc1,7.293
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,5.3793
*CCOC(=O)c1ccc(C(=O)O*)cc1,7.1539
*OC(=O)c1ccc(C(*)=O)cc1,7.8184
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,7.4162
*CC(=S)c1ccc(O*)s1,5.946
*NC(=O)C(=S)c1ccc(*)cc1,6.5245
*NC(=O)C(=S)c1ccc(*)s1,6.6147
*NC(=O)C(=S)O*,7.7235
*COc1ccc(O*)s1,5.7358
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,5.6674
*Cc1ccc(Oc2ccc(*)s2)s1,5.8606
*Cc1ccc(-c2ccc(N*)s2)s1,4.9311
*c1ccc(C(=O)C(F)(F)C(*)(F)F)cc1,7.7091
*CNC(=S)c1ccc(*)s1,5.8964
*Nc1ccc(Nc2ccc(*)s2)s1,4.0261
*NC(=O)NC(*)=S,7.159
*Cc1ccc(Nc2ccc(*)s2)s1,5.2507
*CC(=O)c1ccc(C(*)=S)cc1,6.4748
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,5.9803
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,5.8629
*CNc1ccc(O*)cc1,5.1109
*Cc1ccc(Cc2ccc(*)cc2)cc1,6.2368
*Cc1ccc(-c2ccc(C(*)=S)cc2)cc1,5.6651
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,5.5837
*NC(=S)c1ccc(O*)s1,6.1012
*NC(=O)NC(*)=O,5.9087
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,5.6051
*OC(=S)c1ccc(C(*)=O)s1,6.7886
*NC(=O)c1ccc(-c2ccc(*)s2)cc1,6.1434
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,4.3058
*CONO*,7.0389
*OC(=O)OC(*)=O,7.4502
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,6.3469
*Nc1ccc(-c2ccc(C(*)=O)s2)s1,5.182
*c1ccc(C(F)(F)c2ccc(C(*)(F)F)cc2)cc1,6.6407
*Cc1ccc(C(=O)O*)s1,6.8862
*C(=O)c1ccc(C(=O)c2ccc(*)s2)s1,7.0438
*NC(=O)c1ccc(C(*)=O)s1,7.093
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,4.7302
*CCOC(=O)CCCCC(=O)O*,7.8277
*CC(=O)C(=S)c1ccc(*)s1,6.3305
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,5.1679
*OC(=S)Oc1ccc(*)cc1,6.6287
*CC(=S)c1ccc(C(*)=S)cc1,4.2727
*CCCc1ccc(*)cc1,5.9933
*NC(=O)NO*,7.4857
*CC(=O)c1ccc(-c2ccc(*)s2)s1,5.6786
*OC(=S)C(F)(F)C(*)(F)F,7.093
*CCOC(=O)CCCCCCC(=O)O*,7.7636
*C(=S)C(=O)C(F)(F)C(*)(F)F,7.0732
*Nc1ccc(Nc2ccc(*)s2)cc1,4.9639
*c1ccc(-c2ccc(*)s2)s1,4.5257
*CC(=O)c1ccc(O*)cc1,6.5457
*CC(=S)NO*,5.6761
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,5.1012
*CNCO*,6.4057
*Cc1ccc(C(=S)O*)cc1,6.2737
*Cc1ccc(CO*)s1,6.0202
*CC(=O)c1ccc(O*)s1,6.261
*CC(=S)c1ccc(O*)cc1,5.926
*NOC(F)(F)C(*)(F)F,9.0368
*Oc1ccc(Oc2ccc(*)s2)s1,5.0541
*Cc1ccc(Oc2ccc(*)s2)cc1,5.631
*CCNc1ccc(*)cc1,4.8208
*Cc1ccc(C(=O)C(*)=S)s1,6.4325
*CC(O*)C(F)(F)F,7.9431
*COc1ccc(O*)cc1,5.8209
*CNc1ccc(N*)cc1,4.6919
*Nc1ccc(NC(=O)NC(=O)NC(*)=O)s1,5.7225
*Cc1ccc(OC(*)=S)cc1,6.2998
*Nc1ccc(Oc2ccc(*)cc2)cc1,4.8032
*C(=S)Oc1ccc(-c2ccc(*)cc2)s1,5.9399
*Nc1ccc(C(=S)c2ccc(*)cc2)s1,5.2303
*CC(=O)NC(*)=O,5.8547
*c1ccc(C(=O)C(F)(F)C(*)(F)F)s1,7.5565
*Oc1ccc(Oc2ccc(*)cc2)s1,5.9034
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,4.3893
*OC(=O)C(F)(F)C(*)(F)F,9.0985
