smiles,value
*NOC(=O)O*,7.9654
*Nc1ccc(Oc2ccc(*)s2)cc1,5.3817
*C(=S)OC(=S)c1ccc(*)cc1,6.5598
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)s2)s1,5.8176
*NC(=O)C(=S)C(*)=O,6.114
*Oc1ccc(C(=S)c2ccc(*)s2)s1,6.0778
*NC(=O)Oc1ccc(*)cc1,5.9392
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,5.6406
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,5.1853
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)s1,6.0965
*CC(=O)c1ccc(C(*)=S)s1,6.3101
*CC(=O)C(=S)C(*)=O,6.8667
*OC1C(CO)OC(*)C(O)C1O,6.8689
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,5.7571
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,5.9085
*NCCCNC(=O)NC(*)=O,6.8266
*NC(=O)Oc1ccc(*)s1,5.369
*c1ccc(C(F)(F)NC(*)(F)F)s1,7.3853
*CNc1ccc(C(*)=S)s1,5.3497
*Cc1ccc(NC(*)=S)cc1,5.8355
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,3.5577
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,4.7817
*Nc1ccc(C(=S)c2ccc(*)cc2)cc1,5.3904
*CNOc1ccc(*)cc1,5.7444
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,6.113
*Cc1ccc(OC(*)=S)s1,6.155
*OC(F)(F)c1ccc(C(*)(F)F)cc1,7.7355
*CCc1ccc(C(*)=S)s1,5.9475
*c1ccc(NC(F)(F)C(*)(F)F)cc1,6.1304
*CCO*,7.0344
*CC(=O)Nc1ccc(*)s1,5.8021
*CNC(=S)C(*)=O,6.3386
*CCOCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,5.1123
*Nc1ccc(C(=O)C(*)=S)s1,6.311
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,6.578
*c1ccc(OC(=S)c2ccc(*)s2)cc1,5.9615
*NC(=O)OC(*)=O,8.2121
