smiles,value
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,2.705
*Cc1ccc(Oc2ccc(*)s2)cc1,1.8289
*NOC(=S)O*,1.942
*NC(=O)c1ccc(C(*)=O)s1,2.034
*Cc1ccc(Oc2ccc(*)s2)s1,1.8388
*C(=O)Oc1ccc(C(*)=S)cc1,2.0099
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)cc2)cc1,1.9016
*Cc1ccc(C(=O)c2ccc(*)s2)s1,2.0215
*CC(=O)c1ccc(C(*)=S)s1,2.0669
*Oc1ccc(C(F)(F)C(*)(F)F)cc1,1.7437
*Oc1ccc(-c2ccc(C(*)=O)s2)s1,2.0521
*CCC(=O)O*,1.6631
*CNC(=S)O*,1.8672
*CC(=O)c1ccc(-c2ccc(*)s2)s1,2.0695
*OC(=S)c1ccc(C(*)=O)s1,2.068
*OCCCCONC(*)=O,1.6747
*Oc1ccc(-c2ccc(C(*)=O)cc2)s1,1.9796
*Nc1ccc(NC(*)=S)s1,2.19
*C(=O)c1ccc(C(=O)c2ccc(*)s2)s1,2.0879
*Cc1ccc(-c2ccc(O*)s2)s1,1.9533
*CC(=O)Nc1ccc(*)cc1,1.8294
*Oc1ccc(Cc2ccc(*)cc2)cc1,1.8035
*Cc1ccc(Cc2ccc(*)cc2)cc1,1.8203
*CCNC(*)=S,1.8641
*Cc1ccc(-c2ccc(C(*)=S)cc2)s1,2.0986
*CC(=S)c1ccc(O*)cc1,1.9879
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,2.1236
*CNC(=O)C(*)=S,1.9972
*OC(F)(F)C(=S)C(*)(F)F,1.6753
*CC(=O)C(=S)O*,1.9836
*CC(=S)NO*,1.9431
*Cc1ccc(C(=O)O*)cc1,1.8426
*OC(=O)c1ccc(C(*)=O)s1,1.8811
*CCC(=O)C(*)=S,1.9627
*Oc1ccc(OC(*)=O)cc1,1.7876
*c1ccc(-c2ccc(C(F)(F)C(*)(F)F)s2)s1,1.9785
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,1.8915
*CC(=O)c1ccc(O*)s1,1.9109
*CNC(=S)C(*)=O,2.0233
*CCNc1ccc(*)cc1,1.7816
*Cc1ccc(C(=O)c2ccc(*)s2)cc1,1.9009
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,1.7108
*CC(=O)NC(*)=S,1.9255
*Nc1ccc(C(=O)C(*)=S)s1,2.5145
*Cc1ccc(C*)cc1,1.9676
*CC(=O)N*,1.7337
*COc1ccc(O*)cc1,1.7891
*Cc1ccc(Cc2ccc(*)s2)s1,1.8382
*CC(=O)Cc1ccc(*)cc1,1.7624
*CNC(=O)NCOCO*,1.6883
*OC(=S)c1ccc(C(*)=O)cc1,2.0397
*CC(=S)C(=O)O*,1.92
*NC(=S)c1ccc(O*)cc1,1.9858
*C(=S)Oc1ccc(-c2ccc(*)cc2)s1,2.1962
*c1ccc(C(F)(F)CC(*)(F)F)s1,1.7568
*CNOc1ccc(*)s1,1.8539
*C(=O)NC(F)(F)C(*)(F)F,1.642
*CC(=O)CC(*)=S,1.8167
*NC(=O)Oc1ccc(*)cc1,1.8802
*NOC(=O)NCC(=O)NC(*)=O,1.7831
*CC(*)(F)F,1.6122
*c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)cc1,2.7768
*C(=O)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,2.0217
*Oc1ccc(OC(*)=O)s1,1.8728
