smiles,value
*C(=O)c1ccc(-c2ccc(C(*)=S)cc2)cc1,2.2139
*c1ccc(CC(F)(F)C(*)(F)F)cc1,1.7264
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,2.2975
*CC(=O)C(=S)C(*)=O,2.1903
*OCC(=S)c1ccc(C(=S)Cc2ccc(-c3ccc(*)cc3)cc2)s1,2.0738
*Nc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,2.0981
*CC(=O)Oc1ccc(*)s1,1.8447
*Nc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,2.0006
*c1ccc(C(F)(F)C(=O)C(*)(F)F)cc1,1.7375
*CC(=S)NC(*)=S,2.0504
*CCNc1ccc(*)s1,1.8184
*CNc1ccc(-c2ccc(*)cc2)s1,1.9424
*CNON*,1.7453
*NC(=O)NC(=O)c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)s1,2.2382
*OCC(F)(F)C(*)(F)F,1.5633
*C(=O)CC(F)(F)C(*)(F)F,1.6044
*Nc1ccc(Nc2ccc(*)s2)cc1,1.9889
*Nc1ccc(NC(=O)NC(=O)NC(*)=O)s1,1.9797
*CC(=O)c1ccc(C(*)=S)cc1,2.0297
*CNc1ccc(-c2ccc(*)s2)cc1,1.9541
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,1.8941
*CNC(=S)c1ccc(*)cc1,1.8914
*Cc1ccc(C(=S)c2ccc(*)s2)s1,2.0063
*Nc1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,2.339
*OCCC(=O)CC(=O)Oc1ccc(*)cc1,1.7251
*C(=O)c1ccc(OC(*)=S)s1,2.3124
*CNc1ccc(O*)cc1,1.8414
*Nc1ccc(-c2ccc(C(*)=S)s2)s1,2.7581
*CNC(=S)c1ccc(*)s1,1.9675
*OC(F)(F)CC(*)(F)F,1.5813
*OC(F)(F)OC(*)(F)F,1.5596
*Oc1ccc(-c2ccc(C(*)=O)s2)cc1,2.1334
*Cc1ccc(OC(*)=S)cc1,1.8273
*C(=S)C(=O)CCNc1ccc(C(=S)c2ccc(*)cc2)cc1,2.3328
*CCCc1ccc(*)cc1,1.7489
*CCc1ccc(C(*)=S)s1,2.0043
*c1ccc(NC(F)(F)C(*)(F)F)s1,1.862
*Cc1ccc(C(=O)C(*)=S)s1,1.9676
