smiles,value
*CCCOC(=O)CCCC(=O)O*,24.04
*CCCCCCCCCCC(=O)N*,24.27
*CCCCCCCCCC(=O)O*,50.94
*CCCCOC(=O)CCSCCCCCCSCCC(=O)O*,29.63
*CCN(CCCCCCOc1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1)CCOC(=O)NCCCCCCNC(=O)O*,7.55
*Oc1ccc(Oc2ccc(OC(=O)c3ccc(Oc4ccc(Oc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,48.89
*Nc1cccc(NC(=O)CCCCC(*)=O)c1,46.36
*CCCCCCCCCCOC(=O)CC=CCC(=O)O*,84.02
*CCN(*)C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,24.72
*C=CC1CC(*)C2CC=CC12,41.11
*OC(C)CC(*)=O,71.37270952
*CCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,19.52
*CC(*)CCC,20.01
*CCCCCOC(=O)O*,15.11
*C=CCC*,13.1
*CCCCCCNC(=O)C(CCC)C(=O)N*,21.03
*Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)OCCCCCCOC(*)=O)cc2)cc1,44.64
*Oc1cccc(Oc2ccc(NC(=O)c3ccc(Oc4cccc(Oc5ccc(C(=O)Nc6ccc(*)cc6)cc5)c4)cc3)cc2)c1,40.05
*C(=O)OCCCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,8.62
*CCCCCCCCCCCCC(=O)O*,74.44953187
*CCN(*)C(=O)c1ccc(OCCCSCC(=O)O)cc1,11.78
*CCO*,70.6655082
*Oc1cccc(Oc2ccc(C(=O)Oc3cccc(OC(=O)c4ccc(*)cc4)c3)cc2)c1,12.53
*CC(*)(C)C(=O)NCCCCCCCCCCC(=O)NCCCCCCCCCCC(=O)OC,10.57
*CCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,20.69
*CC(*)C,44.47
*CCCCCCNC(=O)CCCCCCCCC(=O)N*,39.56
*CCC1C(=O)N(CCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)C1*,3.16
*CCCCCCCCCCOC(=O)NCCCCCCNC(=O)O*,27.21
*CCCCC(=O)O*,44.85
*CCOCCOC(=O)NCCCCCCNC(=O)O*,56.78
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(OCCCCCCCCCCOc4ccc(C(*)=O)cc4)cc3)cc2)cc1,22.1
*CCC(=O)O*,45.00978462
*CCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,17.69
*CCCNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)CCCCCCCCC(=O)NC(Cc1ccccc1)C(=O)NCC(=O)NCCCOCCOCCO*,47.64
*CCCCCCCOC(=O)CCCCCCCCC(=O)O*,45.6
*NC(CCC(=O)OCCCCCCCCCCCCCC)C(*)=O,22.28
*CC(*)CCCCCC,75.06
*Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4)cc3)cc2)c1,4.37
*c1cccc(OCCCCCCCCCCCOC(=O)c2ccc(C(=O)OCCCCCCCCCCCOc3cccc(-c4nnc(*)s4)c3)cc2)c1,17.01
*CC(*)C(=O)NCCCCCCCCCCCCCCCCCCCCCC,35.71
*C=CCCCCCCCCCC(CCCCCCCCC*)COCCOCCOCCOCCOCCCCCC,8.9
*C=CCCCCCCCCCC(Cl)CCCCCCCCC*,27.65
*CCCCCCOC(=O)CCC=CCCC(=O)O*,63.8
*Oc1cc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4)cc3)cc2)c(Cl)cc1Cl,39.32
*Oc1cc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4Cl)c(Cl)c3)cc2)c(Cl)cc1Cl,10.75
*CCC=C(*)C,52.26
*C=CC(C)C*,62.19
*NC(CCC(=O)OCCCCCCCCCCCCCCCC)C(*)=O,30.47
*CCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,15.71
*CCCCCCCCCCCCCCOC(=O)CC=CCC(=O)O*,82.99
*CCCCCCCC(=O)N*,48.41
*CCC1CCC(*)C1,23.52
*CCN(*)C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,37.92
*CCCCCCNC(=O)CC(C)c1ccc(C(C)CC(=O)N*)cc1,11.87
*CC(=O)OC(=O)c1ccc(C(=O)OC(=O)COc2ccc(O*)cc2)cc1,47.87
*Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4F)c(F)c3)cc2)c1,26.81
*CCCCNC(=O)CCCCC(=O)N*,64.85
*CCCCCCCCNC(=O)CCC=CCCC(=O)N*,22.55
*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(C(*)=O)c2)cc1,3.92
*CCCC(C)CNC(=O)c1ccc(C(=O)N*)cc1,27.74
*CCCCOC(=O)CCCCC(=O)O*,63.01
*c1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c2)cc1,74.47
*OC(CCc1ccccc1)CC(*)=O,3.08
*CCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,32.31
