smiles,value
*CCCCCCNC(=O)C(CCCCCC)C(=O)N*,17.72
*CCCCCCNC(=O)C(CCCCC)C(=O)N*,21.49
*CCCCCCCCCCCCCCOC(=O)CCC=CCCC(=O)O*,81.89
*CCCCCCCCCCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,21.84
*CCCCCCCCCCCCCCCCCCCCC(*)COCCOCCOCCOCCOCc1ccc2ccc3cccc4ccc1c2c34,13.63
*CC(*)c1ccccc1,27.37
*Oc1ccc(Oc2ccc(C(=O)c3ccc(*)cc3)cc2)cc1,31.10578095
*CC(CO)(CO)CO*,90.22
*CCOC(=O)CCCCCCC(=O)O*,57.21
*O[Si](C)(C)CCCC(=O)Oc1ccc(C=Nc2ccc(N=Cc3ccc(OC(=O)CCC[Si](*)(C)C)cc3)cc2)cc1,29.05
*CCCCNC(=O)CCC=CCCC(=O)N*,31.26
*C(=O)CCC=CCCC(=O)N1CCN(*)CC1,33.97
*CCCCCCNC(=O)CCCCCCC(=O)N*,62.18
*Oc1ccc(Oc2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,29.77
*Oc1ccc(C(*)=O)cc1CCC,32.4
*Oc1ccc(OC(=O)c2cccc(Oc3ccc(-c4ccc(Oc5cccc(C(*)=O)c5)cc4)cc3)c2)cc1,56.34
*Oc1ccc(OC(=O)c2cccc(C(*)=O)c2)cc1,77.61
*CCCCCCNC(=O)C(=O)N*,62.02
*CC(*)(C)C(=O)OC,12.63789474
*Oc1cc(OC(=O)c2ccc(OC)cc2)c(OC(=O)CCCCCCCCCCCCCCC(*)=O)cc1OC(=O)c1ccc(OC)cc1,37.08
*CCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,87.94
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,34.54432121
*CC(CO*)(COC=O)COC=O,53.4
*CCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,29.45
*CCCCCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,13.71
*CC(*)C(=O)OC(C)C,53.86
*CC(*)O,39.089205
*Oc1ccc(OC(=O)c2ccc(-c3ccc(C(*)=O)cc3)cc2)cc1,0.64
*CCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC(=O)N*,30.22
*Oc1ccc(CCNC(=O)c2cccc(C(=O)NCCc3ccc(OC(=O)c4cccc(C(*)=O)c4)cc3)c2)cc1,44.38
*CCCCCCOC(=O)O*,31.95
*CCCCCCC(=O)N*,25.57
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,21.64
*CCCCCCNC(=O)C(CCCCCCCCCCCCCC)C(=O)N*,30.58
*CCN(*)C(=O)CCCCCCCC,16.86
*CCN(*)C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,23.27
*CC(CS(=O)(=O)CCCC)O*,0.13
*Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4)cc3)cc2)c1,25.45
*CC(C)O*,77.61
*CCCCCNC(=O)CCC=CCCC(=O)N*,26.16
*CCCCCCCCCCCCNC(=O)CCP(C)(=O)CCC(=O)N*,9.73
*CC(*)C(=O)OCCCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCCC)CCCCCCC)C5=O,6.12
*CCOCCOCCOCCOC(=O)NCCCCCCNC(=O)O*,25.61
